term,date,time,presenter,paper,abstract,links
Winter 2021,22 Feb 2021,14:15–15:00,Maximiliano San Millán,"""Bank Capital Requirements and Financial Integration""",,"[{""url"": ""https://intranet.cemfi.es/draftfile.php/6534/user/draft/555834092/Capital_reqs_financial_integration.pdf"", ""label"": ""Slides""}]"
Winter 2021,15 Mar 2021,13:30–14:15,Juan Martín Farías,"""Banking with Heterogeneous Beliefs""",,"[{""url"": ""https://intranet.cemfi.es/draftfile.php/6534/user/draft/555834092/210315FARIAS.pdf"", ""label"": ""Slides""}]"
Winter 2021,15 Mar 2021,14:15–15:00,Joël Marbet,"Bianchi, J. and Bigio, S. (2021): ""Banks, Liquidity Management, and Monetary Policy""",,"[{""url"": ""https://intranet.cemfi.es/draftfile.php/6534/user/draft/555834092/BanksLiquidityManagementAndMonetaryPolicy.pdf"", ""label"": ""Slides""}]"
Fall 2020,19 Oct 2020,13:30–14:15,Siema Hashemi,"Calzolari, G., Colliard, J.E. and Lóránth, G. (2019): ""Multinational Banks and Supranational Supervision""",,"[{""url"": ""https://intranet.cemfi.es/draftfile.php/6534/user/draft/555834092/Slides%20Calzolari%20et%20al%20%282019%29.pdf?time=1603098696417"", ""label"": ""Slides""}]"
Fall 2020,19 Oct 2020,14:15–15:00,Juan Martín Farías,"Ferrante, F. (2018): ""A Model of Endogenous Loan Quality and the Collapse of the Shadow Banking System""",,"[{""url"": ""https://intranet.cemfi.es/draftfile.php/6534/user/draft/555834092/Slides%20Ferrante%20%282018%29.pdf"", ""label"": ""Slides""}]"
Fall 2020,23 Oct 2020,13:30–14:15,Maximiliano San Millán,"""Capital Requirements and International Bank Lending""",,"[{""url"": ""https://intranet.cemfi.es/draftfile.php/6534/user/draft/555834092/Presentation_Nov2020%20-%20San_Millan.pdf?time=1606130725006"", ""label"": ""Slides""}]"
Fall 2020,30 Oct 2020,13:30–14:15,Joël Marbet,"""Booms, Banking Crises, and Monetary Policy""",,"[{""url"": ""https://intranet.cemfi.es/draftfile.php/6534/user/draft/555834092/BoomsBankingCrisisMonetaryPolicy.pdf"", ""label"": ""Slides""}]"
Spring 2020,30 Mar 2020,13:30–14:15,Dominik Thaler (BdE),"""The Bright Side of the Doom Loop: Banks Exposure and Default Incentives"" (joint work with Luis Rojas, UAB)",,"[{""url"": ""https://intranet.cemfi.es/draftfile.php/6534/user/draft/555834092/SlidesDoomloopCemfi.pdf"", ""label"": ""Slides""}]"
Spring 2020,21 Apr 2020,13:15–14:00,Maximiliano San Millán,"Devereux, M. and C. Yu (2019): ""International Financial Integration and Crisis Contagion""",,"[{""url"": ""https://intranet.cemfi.es/draftfile.php/6534/user/draft/555834092/Devereux-Yu.pdf"", ""label"": ""Slides""}]"
Spring 2020,21 Apr 2020,14:00–14:45,Joël Marbet,"""HANK at the ZLB: The Inflation Target and the Level of Interest Rates"" (joint work with Jesús Fernández-Villaverde, Galo Nuño, and Omar Rachedi)",,"[{""url"": ""https://intranet.cemfi.es/draftfile.php/6534/user/draft/555834092/HANKatZLB.pdf"", ""label"": ""Slides""}]"
